time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-01-03T00:28:04.263Z,33.9519,88.3531,10,4.5,mb,,39,6.676,0.68,us,us7000g8k7,2022-01-14T02:44:29.040Z,"western Xizang",earthquake,8.1,1.8,0.076,50,reviewed,us,us
2021-12-29T19:08:19.232Z,29.9056,80.3449,10,4.5,mb,,152,4.809,0.65,us,us7000gakz,2022-01-11T16:39:05.040Z,"18 km WNW of Dh?rchula, India",earthquake,9,1.9,0.098,30,reviewed,us,us
2021-12-27T13:37:24.003Z,35.6073,74.9802,10,4.8,mb,,87,2.408,0.4,us,us6000gfm1,2022-01-09T19:29:00.267Z,"68 km WNW of Skardu, Pakistan",earthquake,8.3,1.9,0.061,87,reviewed,us,us
2021-12-27T13:31:04.391Z,35.5578,74.823,10,5.2,mww,,43,2.294,0.62,us,us6000gflv,2022-01-16T17:28:22.485Z,"61 km SE of Gilgit, Pakistan",earthquake,4.1,1.8,0.098,10,reviewed,us,us
2021-12-24T17:58:57.121Z,34.6166,73.1308,29.19,4.5,mb,,97,0.97,0.97,us,us6000gf2y,2021-12-25T18:14:41.040Z,"11 km SE of Battagram, Pakistan",earthquake,5.2,5.4,0.089,43,reviewed,us,us
2021-11-30T13:53:41.109Z,31.723,87.9296,6.77,5.5,mww,,29,9.596,0.72,us,us6000g7wd,2022-01-05T20:02:15.479Z,"289 km NNW of Rikaze, China",earthquake,7.4,3.7,0.093,11,reviewed,us,us
2021-11-13T21:42:04.636Z,32.202,68.7997,10,4.7,mb,,50,2.341,0.47,us,us7000ftwp,2021-11-28T03:46:09.040Z,"73 km W of Wana, Pakistan",earthquake,7.8,1.8,0.057,93,reviewed,us,us
2021-11-09T10:57:27.886Z,31.9939,78.5517,10,4.6,mb,,84,4.744,0.41,us,us7000fsnw,2022-01-15T20:51:42.040Z,"89 km NE of Sar?han, India",earthquake,6.7,1.8,0.066,69,reviewed,us,us
2021-11-07T16:20:46.399Z,27.271,88.7826,10,4.6,mb,,76,1.878,0.66,us,us7000fs8a,2022-01-15T20:51:38.040Z,"17 km ESE of Gangtok, India",earthquake,6.7,1.8,0.059,89,reviewed,us,us
2021-11-05T01:48:32.008Z,28.8267,87.4455,10,5,mb,,139,5.095,0.92,us,us7000frkq,2022-01-15T20:51:33.040Z,"115 km NNE of Lobujya, Nepal",earthquake,7.5,1.8,0.049,137,reviewed,us,us
